"ID","シナリオ","配信タイミング","推奨形式","件名","本文","CTA","停止・自動処理"
"VSL-C10","VSL視聴完了：ロードマップ作成会 48時間10通","47時間後","テキスト＋ボタン","","あと1時間で受付終了です。

AIひとり起業ロードマップ作成会 のご案内はこれで最後です。参加したい方は、今すぐ予約を完了してください。","今すぐ予約する",""
"RQ-01","VSL再公開希望 3通","翌日12:00","テキスト＋ボタン","","[name]さん、昨日で動画公開は終了しました。

「時間が足りなかったので、もう一度だけ見たい」という場合は、下のボタンを押してください。希望した方に限り、24時間だけ再公開します。","もう一度見たい",""
"RQ-02","VSL再公開希望 3通","翌日19:00","テキスト","","再公開を希望する方へ確認です。

本日中にボタンを押した方だけ、24時間の視聴URLをお送りします。自動で延長はしません。","24時間再公開を希望する",""
"RQ-03","VSL再公開希望 3通","翌日23:00","テキスト＋ボタン","","再公開希望の受付は、このメッセージで終了します。

もう一度見たい方は、今のうちにボタンを押してください。再公開は一人1回、24時間です。","もう一度見たい",""
"RO-01","VSL 24時間再公開 7通","クリック直後","カード＋ボタン","","[name]さん、ご希望ありがとうございます。

動画を今から24時間だけ再公開しました。
再公開URL：[再公開URL]
終了：[再公開終了日時]

今回は再延長できないため、先に視聴時間を確保してください。","24時間限定で見る",""
"RO-02","VSL 24時間再公開 7通","2時間後","テキスト","","再公開動画は開けましたか？

まだの場合は、視聴できることだけでも今のうちに確認してください。
[再公開URL]","動画を開く",""
"RO-03","VSL 24時間再公開 7通","6時間後","テキスト＋ボタン","","残り18時間です。

テーマ選びから商品・集客・販売まで、途中で分断せず最後まで通して見るのがおすすめです。","続きを見る",""
"RO-04","VSL 24時間再公開 7通","12時間後","画像パネル＋ボタン","","再公開は残り12時間。

一度だけの24時間公開です。まだ途中なら、ここから続きへ戻ってください。","視聴を再開する",""
"RO-05","VSL 24時間再公開 7通","18時間後","テキスト","","終了まであと6時間です。

見終わった方には、必要に応じて AIひとり起業ロードマップ作成会 をご案内します。まずは動画を最後までご覧ください。
[再公開URL]","最後まで見る",""
"RO-06","VSL 24時間再公開 7通","22時間後","テキスト＋ボタン","","あと2時間で終了します。

今回を逃すと、同じ動画の再公開はありません。必要な部分を今のうちに確認してください。","終了前に視聴する",""
"RO-07","VSL 24時間再公開 7通","23時間30分後","テキスト","","あと30分です。

24時間再公開の最後のご案内です。視聴途中の方は、今すぐこちらから戻ってください。
[再公開URL]","今すぐ動画を見る",""
"OC-J01","AIマニアの放課後 初回参加案内 3通","移行直後","画像パネル＋ボタン","","[name]さん、AIの学びを続けたい方へ。

オープンチャット 「AIマニアの放課後」 をご案内します。AI活用やひとり起業について学べるZoom勉強会を月2回開催します。まずは気軽に参加してください。","AIマニアの放課後に参加する",""
"OC-J02","AIマニアの放課後 初回参加案内 3通","翌日19:00","テキスト","","一人で情報を追い続けると、分からないことが増えるほど動きにくくなります。

AIマニアの放課後 では、AIの変化を学びながら、自分の仕事や事業にどう使うかを考えます。

[オプチャURL]","オプチャを見る",""
"OC-J03","AIマニアの放課後 初回参加案内 3通","3日目20:00","テキスト＋ボタン","","オプチャ参加については、これで最後のご案内です。

今すぐ面談やスクールを考えていなくても大丈夫。月2回のZoom勉強会から、AIを使うきっかけを作ってください。","無料で参加する",""
"OC-E01","オプチャZoom勉強会募集 5通","D-7 10:00","画像パネル＋ボタン","","次回の放課後勉強会が決まりました。

テーマ：[勉強会テーマ]
日時：[勉強会日時]
形式：Zoom

AIを知るだけでなく、自分の仕事やひとり起業へどう使うかを一緒に考えます。","勉強会に参加する",""
"OC-E02","オプチャZoom勉強会募集 5通","D-3 19:00","テキスト","","開催まであと3日です。

今回のテーマは [勉強会テーマ]。AI初心者でも参加できる内容です。聞くだけで終わらせず、自分ならどう使うかまで考える時間にします。

[勉強会申込URL]","Zoom勉強会へ申し込む",""
"OC-E03","オプチャZoom勉強会募集 5通","D-1 19:00","カード＋ボタン","","明日開催。

[勉強会テーマ]
[勉強会日時]／Zoom

参加する方は、忘れないうちに登録を済ませてください。","明日の勉強会に参加する",""
"OC-E04","オプチャZoom勉強会募集 5通","当日09:00","テキスト","","[name]さん、本日が放課後勉強会の日です。

テーマ：[勉強会テーマ]
日時：[勉強会日時]

今日扱う内容を、自分の行動に一つ持ち帰ってください。
[勉強会申込URL]","本日参加する",""
"OC-E05","オプチャZoom勉強会募集 5通","開始1時間前","テキスト＋ボタン","","あと1時間で開始します。

AIマニアの放課後 Zoom勉強会
参加URL：[勉強会参加URL]

開始時刻になりましたら、こちらからお入りください。","Zoomに参加する",""
"OC-N01","オプチャ勉強会後：ロードマップ作成会・非クリック 3通","勉強会終了時","カード＋ボタン","","[name]さん、本日の勉強会へのご参加ありがとうございました。

今日の学びを自分の事業計画へ落とし込みたい方へ、AIひとり起業ロードマップ作成会をご案内します。

Zoom30分で、事業テーマ・商品・集客・販売の順番を一緒に整理します。スクールの案内も含むため、興味がある方だけ日程をご覧ください。","ロードマップ作成会を見る",""
"OC-N02","オプチャ勉強会後：ロードマップ作成会・非クリック 3通","翌日10:00","テキスト＋ボタン","","昨日の勉強会で見つけたヒントを、そのままにしていませんか？

自分の場合の最初の一歩まで決めたい方は、30分のロードマップ作成会を使ってください。","日程を確認する",""
"OC-N03","オプチャ勉強会後：ロードマップ作成会・非クリック 3通","翌々日20:00","テキスト","","今回の勉強会参加者向けの作成会案内は、これで最後です。

スクールに関心があり、具体的な進め方を相談したい方はこちらからご予約ください。
[面談予約URL]","30分Zoomを予約する",""
"OC-C01","オプチャ勉強会後：予約ページクリック・未予約 10通","クリック15分後","テキスト","","[name]さん、作成会の日程ページを見てくださりありがとうございます。

合う時間がなければ、少し時間を置いてもう一度確認できます。","日程を再確認する",""
"OC-C02","オプチャ勉強会後：予約ページクリック・未予約 10通","2時間後","テキスト＋ボタン","","AIひとり起業ロードマップ作成会 はZoom30分です。

予約は名前とメールアドレスだけ。勉強会で得た学びを、あなたの事業テーマと次の行動へつなげます。","予約を完了する",""
"OC-C03","オプチャ勉強会後：予約ページクリック・未予約 10通","5時間後","テキスト","","まだテーマが固まっていなくても問題ありません。

経験・得意・興味を確認しながら、AIを使って何を形にするかを一緒に整理します。スクールの説明も含みます。
[面談予約URL]","空き枠を見る",""
"OC-C04","オプチャ勉強会後：予約ページクリック・未予約 10通","10時間後","画像パネル＋ボタン","","学んだ日の熱を、行動へ。

一人で考えて止まる前に、30分で優先順位を決めましょう。","ロードマップを作る",""
"OC-C05","オプチャ勉強会後：予約ページクリック・未予約 10通","24時間後","テキスト","","[name]さん、昨日ページを開いて迷っていた方へ。

作成会では、今の自分が最初に取り組む一つを明確にします。そのうえでスクールが必要かも判断できます。","日程を選ぶ",""
"OC-C06","オプチャ勉強会後：予約ページクリック・未予約 10通","28時間後","テキスト＋ボタン","","AIでできることが増えるほど、選択肢も増えます。

だからこそ、何をやるかだけでなく、今は何をやらないかまで整理する時間を作ってください。","30分で整理する",""
"OC-C07","オプチャ勉強会後：予約ページクリック・未予約 10通","34時間後","テキスト","","事前課題や資料は不要です。予約後に都合が変われば日程変更できます。

[面談予約URL]","予約へ進む",""
"OC-C08","オプチャ勉強会後：予約ページクリック・未予約 10通","39時間後","カード＋ボタン","","今回の受付は残り9時間です。

実際の48時間受付に基づくご案内です。必要な方は、期限内に日程を確保してください。","受付中の枠を見る",""
"OC-C09","オプチャ勉強会後：予約ページクリック・未予約 10通","45時間後","テキスト","","受付終了まであと3時間です。

AIひとり起業スクールに関心があり、自分に合う進め方を直接相談したい方はこちらです。
[面談予約URL]","終了前に予約する",""
"OC-C10","オプチャ勉強会後：予約ページクリック・未予約 10通","47時間後","テキスト＋ボタン","","あと1時間で受付を終了します。

今回の勉強会参加者向け案内はこれで最後です。参加したい方は今すぐ予約を完了してください。","今すぐ予約する",""
"SALES-01","営業担当者が面談後に送る共通文","面談後","テキスト","","[name]さん、本日はありがとうございました。AIひとり起業スクールへのご参加手続きもありがとうございます。これ以降のご案内は、受講開始の案内に切り替わります。一緒に形にしていきましょう。","","sales_won 付与、全集客ファネル停止、顧客オンボーディング開始"
"SALES-02","営業担当者が面談後に送る共通文","面談後","テキスト","","[name]さん、本日はありがとうございました。次回は [面談日時] に、今日整理した内容の続きからお話しします。Zoomはこちらです：[ZoomURL]。変更が必要な場合は [日程変更URL] からお願いします。","","sales_next_meeting 付与、ほかの募集停止、予約リマインド開始"
"SALES-03","営業担当者が面談後に送る共通文","面談後","テキスト","","[name]さん、本日はありがとうございました。今日お話しした内容を、まずはご自身でも整理してみてください。また学びたいタイミングで参加できるよう、今後のライブセミナーもご案内します。","","sales_no_next_meeting 付与、24時間後に次回本命セミナーの待機対象"
"SALES-04","営業担当者が面談後に送る共通文","面談後","テキスト","","[name]さん、ご希望を承りました。今後、スクール・面談・セミナーなどの営業案内は停止します。これまでありがとうございました。","","sales_stop 付与、全営業配信停止"
