"No.","レビュー状態","行種別","フェーズ","シナリオ名","管理ID","対象・入口条件","配信タイミング","媒体","推奨形式","管理名称","件名","本文（全文・編集可）","CTA文言","CTA URL／変数","付与ラベル","解除ラベル","停止・除外条件","終了条件／次シナリオ","実装メモ","画像URL（YouTube原本）","画像プレビュー（セル内）","UTAGE挿入位置","画像内テキスト","使用指示・注意"
"29","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","UGcaRCoMFOxK","Instagram 10大特典登録・セミナー未申込","登録から9日後 19:00","LINE","画像＋テキスト＋ボタン（画像: 05_参加者写真_差替テンプレ.png）","SEM-A06（開催5日前19:00）","","【LINEメッセージ 1／text】
「AI初心者ですが、参加しても大丈夫ですか...？」
というご質問をよくいただきましたが、
全く問題ありませんのでご安心ください！😊

むしろAIは初心者だからこその着眼点がかなり重要なんです！
初心者だからこその、新しい発想や発見がある...!!😳

過去のセミナーの様子や、
参加者の方々のリアルな感想は、
こちらからご確認いただけます👇✨
https://seminar-voices.netlify.app/","内容を確認して申し込む","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U05 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U05 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。 実績・感想表現は公開前に根拠確認。"
"30","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","RokpcnZILyfj","Instagram 10大特典登録・セミナー未申込","登録から10日後 20:00","LINE","テキスト＋ボタン","SEM-A07（開催4日前20:00）","","【LINEメッセージ 1／text】
セミナーのお申し込みは、お名前と
メールアドレスを入力するだけで完了します📝✨

ご登録後、参加URLをLINEとメールの
両方へお送りします。👍😊

「当日にLINEのトークからURLを探すのが大変…💦」
という時も、メールに情報が残っているので
スムーズに参加できて安心です
👇😊
[セミナー申込URL]","日時を確認して申し込む","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U18 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U18 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"31","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","yfZhr4eBiYca","Instagram 10大特典登録・セミナー未申込","登録から11日後 10:00","LINE","テキスト＋ボタン","SEM-B01（開催3日前10:00）","","【LINEメッセージ 1／text】
セミナー開催まで【あと3日】となりました！⏰


このセミナーでは「AIの深い知識」ではなく、
「AIをどうビジネスに繋げるか」を体系的に学べる時間になっています☺️✨

""AIでホームページが作れる""、""AIで動画制作ができる""、
ではその後は...？😥

AIを学ぶだけではビジネスは出来ません💦
その知識を発展させるための時間になっています🚀

少しでもご興味ある方は、ぜひお早めにお申し込みください！✨

📅 日時：%event_schedule%
💻 形式：オンライン（Zoomなど）

参加用のURLは、お申し込み後に
LINEとメールでお送りいたします。

▼席の確保はお早めにどうぞ👇😊
[セミナー申込URL]","参加登録する","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U06 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U06 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"32","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","DDbLkDS5Bs2y","Instagram 10大特典登録・セミナー未申込","登録から11日後 20:00","LINE","テキスト＋ボタン","SEM-B02（開催3日前20:00）","","【LINEメッセージ 1／text】
「まだAIを触り始めたばかり…」
という方でも、どうぞご安心ください😊

むしろAIビジネスは触り始めた方の方が有利に働くことが多いです！
その実態をセミナーでお伝えいたします🚀🔥

あなたのこれまでの経験や、得意なことを
振り返りながら、「自分にぴったりのAI活用法」
を見つけるところから優しく進めていきます🌱

▼詳細・お申し込みはこちらから👇
[セミナー申込URL]","初心者向けセミナーに参加する","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U07 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U07 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"33","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","chBZyUC5u0cb","Instagram 10大特典登録・セミナー未申込","登録から12日後 10:00","LINE","テキスト＋ボタン","SEM-B03（開催2日前10:00）","","【LINEメッセージ 1／text】
今回のセミナーは、
特にこんな方におすすめです！💡

🌟 AIを自分の仕事に活かしたい
🌟 学ぶ順番をスッキリ整理したい
🌟 自分の「強み」とAIを掛け合わせたい
🌟 今日からできる具体的な一歩を決めたい

1つでも当てはまる方は、
ここが分岐点になると思います...!!
一歩踏み出すか、足踏みをするか。
少しでもご自身にプラスの影響を与えたい方はぜひ👇😊
[セミナー申込URL]","自分に合うか確認する","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U08 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U08 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"34","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","bPqbxIX4OVHi","Instagram 10大特典登録・セミナー未申込","登録から12日後 20:00","LINE","テキスト＋ボタン","SEM-B04（開催2日前20:00）","","【LINEメッセージ 1／text】
限定特典⑥〜⑩をお受け取りいただけるのは、
セミナーを最後までご視聴いただいた方のみとなります🎁

もし「途中までは参加できるけど、最後までは時間的に...」
という方は、個別にメールからご連絡ください！
ご参加いただけたことを確認できましたら、特典の方をお礼にお渡しいたします！

「あとで予定を確認しよう」と思っていると
満席になってしまうこともあるので、
忘れないうちに席を確保しておいてくださいね👇✨
[セミナー申込URL]","参加枠を確保する","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U09 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U09 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。 実績・感想表現は公開前に根拠確認。"
"35","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","RSqeGyYE2rfk","Instagram 10大特典登録・セミナー未申込","登録から13日後 09:00","LINE","画像＋テキスト＋ボタン（画像: 06_セミナー前日_リマインド.png）","SEM-B05（開催前日09:00）","","【LINEメッセージ 1／text】
いよいよ【明日開催】となりました！✨

「自分に合う内容かな…？🔰」
と迷われている方へ。

AIを使ったことがない初心者の方でも、
まだやりたい方向が決まっていなくても大丈夫！
あなたの「今の状態」から一緒に整理していくセミナーです😊🌱

むしろ""AI界隈は初心者が有利""だと確信しています！
その理由はセミナーで語っていますので、ぜひ覗いてみてください

📢 セミナー：AIでひとり起業攻略法
📅 日時：%event_schedule%

参加を迷われている方、迷われているだけでも半歩先に進んでいる状態です。
もう半歩踏み出すきっかけにしていただけると嬉しいです☺️
忘れないうちにお申し込みを済ませてくださいね👇😊
[セミナー申込URL]","明日のセミナーに申し込む","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U10 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","=IF(U67="""","""",IMAGE(U67))","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U10 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"36","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","3343Rx0CqrIS","Instagram 10大特典登録・セミナー未申込","登録から13日後 15:00","LINE","テキスト＋ボタン","SEM-B06（開催前日15:00）","","【LINEメッセージ 1／text】
【重要なご連絡】
「セミナーに必要な知識はありますか？」
と聞かれますが、知識は不要です！

ほんの少しのAIへの興味と、
ビジネスにしたいという気持ちがあれば十分すぎるぐらいです☺️

あとはリラックスして視聴できる場所と、
メモ用の筆記用具があれば準備はバッチリです👍

顔出し声出しは不要ですので、お気軽にご参加ください🤲
こちらからご確認くださいね👇","参加方法を確認する","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U11 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U11 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"37","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","24HUpDar6IB0","Instagram 10大特典登録・セミナー未申込","登録から13日後 21:00","LINE","テキスト＋ボタン","SEM-B07（開催前日21:00）","","【LINEメッセージ 1／text】
【大変申し訳ございません】
物凄く現実的で残酷なことをお伝えします。

それは、
""AIは学ぶだけでは、一生成功しません""

これは別に大袈裟にいっているわけではありません。
AIに限ったことではないですが、道具の使い方が分かっても、
実践する場所や、活かす機会がないと意味がないんです。

今回のセミナーでは、
そういった状況から一気に抜け出せる内容となっています。

ご参加いただける場合は、
今夜のうちにお名前とメールアドレスを登録して、
参加用URLを受け取っておいてくださいね👇✨
[セミナー申込URL]","参加URLを受け取る","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U12 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U12 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"38","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","WvjKarVV5Oh3","Instagram 10大特典登録・セミナー未申込","登録から14日後 09:00","LINE","画像＋テキスト＋ボタン（画像: 07_セミナー当日_リマインド.png）","SEM-B08（開催当日09:00）","","【LINEメッセージ 1／text】
＼ いよいよ本日開催です！🎉 ／

📢 AIでひとり起業攻略法
📅 %event_schedule%

まだ今からでもお申し込み可能です！

最後までご参加いただいた方には、
実践で使える超有料級の【特典⑥〜⑩】も
プレゼントいたします！🎁

お席が埋まる前に、ぜひご確認くだいね👇✨

▼お申し込みはこちらから👇😊
[セミナー申込URL]","本日のセミナーに申し込む","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U13 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","=IF(U70="""","""",IMAGE(U70))","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U13 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"39","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","uFvnt0A4Njsx","Instagram 10大特典登録・セミナー未申込","登録から14日後 17:00","LINE","テキスト＋ボタン","SEM-B09（開始3時間前）","","【LINEメッセージ 1／text】
セミナー開始まで【あと3時間】となりました！⏰

今からの駆け込みお申し込みも大歓迎です！👍
ご登録後、すぐに参加用URLをお送りします。

事前準備は不要です。
顔出しや声出しも不要です☺️
好きな飲み物を片手にリラックスしてご参加ください😌

昨日の連絡を見て、
「最後まで見るのは時間的に厳しくて...」
というお声がありましたので、セミナーにご参加いただけたのがわかった場合、
後からメールにてご連絡いただければ、特典の方をお送りいたしますのでご安心ください！

ぜひご参加お待ちしております☺️

▼こちらから席を確保してくださいね👇✨
[セミナー申込URL]","参加URLを受け取る","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U14 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U14 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"40","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","Dq5k8JrM1aww","Instagram 10大特典登録・セミナー未申込","登録から14日後 19:30","LINE","テキスト＋ボタン","SEM-B10（開始30分前）","","【LINEメッセージ 1／text】
あと30分でセミナーが開始します！⏳✨

あと30分でセミナーが始まります！⏳🔥

申込ページを見て迷っていた方への、
これが【最後のご案内】となります。

まだ申し込みが来ているため、時間延長いたしました💦
こちらから滑り込みでのお申し込みをお待ちしております！👇😊
[セミナー申込URL]","今から申し込む","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","クリック→IG_13_SEM-C／申込完了→IG_20／未反応→次メッセージ","吉本さん原案 SEM-U15 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 SEM-U15 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"41","レビュー中","メッセージ","セミナー募集","IG_10_セミナー募集_未申込者","c4DE7dl6EP7m","Instagram 10大特典登録・セミナー未申込","イベント10分前","LINE","テキスト＋ボタン","SEM-B11（開始10分前）","","【LINEメッセージ 1／text】
まもなくセミナーを開始します！📢

こちらが今回のセミナーお申し込みの
【最後のご案内】となります。

正直ながら見するだけでも、
今回の内容は十分皆さんの分岐点になると確信しています。
AIをビジネスに発展させるのに必要なのは、""知識""ではなく""きっかけ""です。

まだ受付中ですので、こちらから
今すぐ参加登録を完了してくださいね👇✨

【LINEメッセージ 2／button】
{
  ""seq"": 1,
  ""type"": ""button"",
  ""alt_text"": ""【無料セミナー】AIでひとり起業攻略法"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""AIでひとり起業攻略法"",
  ""text"": ""Zoomライブ・最新日程は申込ページへ"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""セミナーに申し込む"",
      ""uri"": ""[セミナー申込URL]"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","セミナーに申し込む","[セミナー申込URL｜初回クリック時ACT-SEM-PAGE]","","","seminar_page_clicked_unregistered / seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","未申込→ACT-SEM-END-NOREG→再公開希望確認3通","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"42","レビュー中","メッセージ","セミナー未申込","IG_13_セミナー申込ページクリック未申込","SEM-C01","セミナー申込ページクリック済み・未申込","申込ページクリック15分後","LINE","テキスト","SEM-C01","","申込ページを開いていただき、
ありがとうございます！😊🌟

登録が完了すると、LINEとメールに
参加用URLがすぐに届きます。

もし届かない場合は、途中で入力が止まっている可能性があります💦
こちらから簡単に再開できますので、一度ご確認をお願いいたします！👇✨
[セミナー申込URL]","申込を完了する","[セミナー申込URL｜SEM-C再登録なし]","","","seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","申込完了→IG_20／未申込→次メッセージ","Dさん作成 24行目から引用。本文は原文のまま。 技術変数のみ現行名へ置換。","","","","","Dさん原文を基礎に使用。独自加筆禁止。"
"43","レビュー中","メッセージ","セミナー未申込","IG_13_セミナー申込ページクリック未申込","SEM-C02","セミナー申込ページクリック済み・未申込","クリック2時間後","LINE","テキスト","SEM-C02","","「セミナーで何が学べるんですか？」
という声が多く届いています。

このセミナーでは「AIの深い知識」ではなく、
「AIをどうビジネスに繋げるか」を体系的に学べる時間になっています☺️✨

""AIでホームページが作れる""、""AIで動画制作ができる""、
ではその後は...？😥

AIを学ぶだけではビジネスは出来ません💦
その知識を発展させるための時間になっています🚀

少しでもご興味ある方は、ぜひお早めにお申し込みください！✨
[セミナー申込URL]","申込ページへ戻る","[セミナー申込URL｜SEM-C再登録なし]","","","seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","申込完了→IG_20／未申込→次メッセージ","Dさん作成 25行目から引用。本文は原文のまま。 技術変数のみ現行名へ置換。","","","","","Dさん原文を基礎に使用。独自加筆禁止。"
"44","レビュー中","メッセージ","セミナー未申込","IG_13_セミナー申込ページクリック未申込","SEM-C03","セミナー申込ページクリック済み・未申込","クリック6時間後","LINE","テキスト","SEM-C03","","参加登録の完了後は、参加用URLを
LINEとメールの両方にお送りします📧✨

「当日にLINEのトークからURLを探すのが大変…💦」
という時も、メールに情報が残っているので
スムーズに参加できて安心です👍😊
[セミナー申込URL]","参加URLを受け取る","[セミナー申込URL｜SEM-C再登録なし]","","","seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","申込完了→IG_20／未申込→次メッセージ","Dさん作成 26行目から引用。本文は原文のまま。 技術変数のみ現行名へ置換。","","","","","Dさん原文を基礎に使用。独自加筆禁止。"
"45","レビュー中","メッセージ","セミナー未申込","IG_13_セミナー申込ページクリック未申込","SEM-C04","セミナー申込ページクリック済み・未申込","クリック12時間後","LINE","テキスト","SEM-C04","","「自分に合う内容かな…？🔰」
と迷われている方へ。

AIを使ったことがない初心者の方でも、
まだやりたい方向が決まっていなくても大丈夫！
あなたの「今の状態」から一緒に整理していくセミナーです😊🌱

むしろ""AI界隈は初心者が有利""だと確信しています！
その理由はセミナーで語っていますので、ぜひ覗いてみてください

[セミナー申込URL]","内容を確認して申し込む","[セミナー申込URL｜SEM-C再登録なし]","","","seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","申込完了→IG_20／未申込→次メッセージ","Dさん作成 27行目から引用。本文は原文のまま。 技術変数のみ現行名へ置換。","","","","","Dさん原文を基礎に使用。独自加筆禁止。"
"46","レビュー中","メッセージ","セミナー未申込","IG_13_セミナー申込ページクリック未申込","SEM-C05","セミナー申込ページクリック済み・未申込","クリック24時間後","LINE","テキスト","SEM-C05","","[name]さん、昨日見てくださった
セミナーの申込ページはこちらです🌱😊

最後までご参加いただいた方には、
実践で使える超有料級の【特典⑥〜⑩】も
プレゼントいたします！🎁

ぜひご確認くだいね👇✨
[セミナー申込URL]","参加枠を確認する","[セミナー申込URL｜SEM-C再登録なし]","","","seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","申込完了→IG_20／未申込→次メッセージ","Dさん作成 28行目から引用。事実未確認または現行仕様と不一致の箇所のみ削除。 技術変数のみ現行名へ置換。","","","","","Dさん原文を基礎に使用。独自加筆禁止。"
"47","レビュー中","メッセージ","セミナー未申込","IG_13_セミナー申込ページクリック未申込","SEM-C06","セミナー申込ページクリック済み・未申込","クリック36時間後","LINE","テキスト","SEM-C06","","セミナーはオンライン（Zoom等）で開催します💻🍀

筆記用具などがあれば、事前準備は不要です。
好きな飲み物を片手にリラックスしてご参加ください😌

ぜひご参加お待ちしております☺️","参加条件を確認する","[セミナー申込URL｜SEM-C再登録なし]","","","seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","申込完了→IG_20／未申込→次メッセージ","Dさん作成 29行目から引用。事実未確認または現行仕様と不一致の箇所のみ削除。 技術変数のみ現行名へ置換。","","","","","Dさん原文を基礎に使用。独自加筆禁止。"
"48","レビュー中","メッセージ","セミナー未申込","IG_13_セミナー申込ページクリック未申込","SEM-C07","セミナー申込ページクリック済み・未申込","D-1 20:00（未経過時のみ）","LINE","テキスト","SEM-C07","","明日のセミナーへのご参加を
検討されている方へお知らせです⏰✨

「AIでビジネスなんて自分なんかには...」
「今の仕事にAI導入したいんだけど難しそうだから💦」
「まだほぼ触ったことないから不安...」

自信を持ってご安心くださいと言わせてください！
それらの悩みをセミナーの時間で払拭いたします☺️
もし、今抱えている悩みがあれば、
セミナーの時間内であればいつでもチャットにて質疑応答を受け付けておりますので、ぜひご質問ください！🤲

▼参加申し込みはこちらから
[セミナー申込URL]","明日の参加URLを受け取る","[セミナー申込URL｜SEM-C再登録なし]","","","seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","申込完了→IG_20／未申込→次メッセージ","Dさん作成 30行目から引用。事実未確認または現行仕様と不一致の箇所のみ削除。 技術変数のみ現行名へ置換。","","","","","Dさん原文を基礎に使用。独自加筆禁止。"
"49","レビュー中","メッセージ","セミナー未申込","IG_13_セミナー申込ページクリック未申込","SEM-C08","セミナー申込ページクリック済み・未申込","当日09:00（未経過時のみ）","LINE","テキスト","SEM-C08","","＼ いよいよ本日開催です！🎉 ／

お申し込みを完了させると、
すぐにLINEとメールに参加用URLが届きます。

ぜひお席を確保して、ご参加くださいね👇✨😊
[セミナー申込URL]","本日のセミナーに申し込む","[セミナー申込URL｜SEM-C再登録なし]","","","seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","申込完了→IG_20／未申込→次メッセージ","Dさん作成 31行目から引用。本文は原文のまま。 技術変数のみ現行名へ置換。","","","","","Dさん原文を基礎に使用。独自加筆禁止。"
"50","レビュー中","メッセージ","セミナー未申込","IG_13_セミナー申込ページクリック未申込","SEM-C09","セミナー申込ページクリック済み・未申込","開始3時間前（未経過時のみ）","LINE","テキスト","SEM-C09","","セミナー開始まで【あと3時間】となりました！⏰

「やっぱり参加したい！」と思われた方...
まだまだ間に合います！

ただ、そろそろ締め切る直前ですので、
その前にお名前とメールアドレスをご登録の上、
こちらから参加URLを受け取ってください👇😊✨
[セミナー申込URL]","参加登録を完了する","[セミナー申込URL｜SEM-C再登録なし]","","","seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","申込完了→IG_20／未申込→次メッセージ","Dさん作成 32行目から引用。本文は原文のまま。 技術変数のみ現行名へ置換。","","","","","Dさん原文を基礎に使用。独自加筆禁止。"
"51","レビュー中","メッセージ","セミナー未申込","IG_13_セミナー申込ページクリック未申込","SEM-C10","セミナー申込ページクリック済み・未申込","開始30分前（未経過時のみ）","LINE","テキスト","SEM-C10","","あと30分でセミナーが始まります！⏳🔥

申込ページを見て迷っていた方への、
これが【最後のご案内】となります。

こちらから滑り込みでのお申し込みをお待ちしております！👇😊
[セミナー申込URL]","受付終了前に申し込む","[セミナー申込URL｜SEM-C再登録なし]","","","seminar_main_registered / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","未申込→ACT-SEM-END-NOREG→再公開希望確認3通","Dさん作成 33行目から引用。事実未確認または現行仕様と不一致の箇所のみ削除。 技術変数のみ現行名へ置換。","","","","","Dさん原文を基礎に使用。独自加筆禁止。"
"52","レビュー中","メッセージ","セミナー申込後","IG_20_09 申込者LINE（k6x新規）","fhJhNIy50WL7","セミナー申込済み","登録直後","LINE","テキスト","REG-L01（申込直後・参加URL）","","【LINEメッセージ 1／text】
%line_name%さん、お申し込みありがとうございます！😊

お申し込みいただいたセミナーの詳細は以下となります。

📢 AIでひとり起業攻略法
📅 日時：%event_schedule%
💻 参加URL：[ZoomURL]

当日は開始時刻の【3分前】を目安に
お入りいただけるとスムーズです✨
お会いできるのを楽しみにしています！","参加URLを保存する","[ZoomURL]","","","roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","次メッセージまたは状態分岐","吉本さん原案 REG-L01 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 REG-L01 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
